claims|valeur|predicted
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Mandarin Orange Pesticide|Mixed|True
Gang Murder at Broadway Mall|Mixed|Mixed
Mixed Case Street Name Signs|Mixed|True
ACLU Christmas Cards|Mixed|True
Car Attacked by Mountain Lion|Mixed|False
Woman Injected with Knockout Drug at Gas Station|Mixed|True
Missing Girl: Jackie Buyher|Mixed|Mixed
President Obama’s Asian Trip – $200 Million per Day?|Mixed|Mixed
Silly Bandz Danger|Mixed|False
Overseas Voters|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Etymology of ‘Little History Lesson’|Mixed|Mixed
Life Is Beautiful Virus|Mixed|Mixed
PPA Advisory Alert|Mixed|True
Dell Hospital will donate 15 cents towards the care of Maria, a raped child, every time a particular text message is forwarded.|False|False
Women: Take off your clothes and scare terrorists!|False|True
Hotel Safe Mistaken for Microwave Oven|Mixed|True
The gold ball atop a military flagpole contains a razor, a match, and a bullet.|False|Mixed
Disappearing Ink on Check|Mixed|True
Computer Screen Cleaner|Mixed|True
Hunter Stalked by Mountain Lion|Mixed|False
Ben Stein on Health Insurance|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Thierry Mairot|Mixed|True
For every forwarded copy of an e-mail received, the American Cancer Society will donate three cents to cancer research.|False|True
Bedbugs Clothes Dryer Extermination|Mixed|False
Missing Girl: Gabrielle Dahm|Mixed|Mixed
Feeding the Eagles|Mixed|False
2011 W-2 Tax Forms and HR3590|Mixed|True
CFL Bulb Fire Risk|Mixed|Mixed
Storm Clouds|Mixed|False
Earthquake Hoax|Mixed|Mixed
Desecration of Arizona and U.S. Flags in Phoenix|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Bill Cosby’s Write-In Candidate Platform|Mixed|Mixed
Text Message for Heart Transplant Child|Mixed|False
The staff of snopes.com were arrested after a law enforcement raid.|False|False
Frankenmuth Crosses|Mixed|False
David Wilkerson Predicts Imminent Catastrophe|Mixed|Mixed
A photograph shows Michelle Obama with Princess Letizia and Carla Bruni-Sarkozy.|False|Mixed
Progressive Insurance chairman Peter Lewis has donated millions of dollars to the ACLU and liberal political causes.|Mixed|Mixed
You can look up anyone's driver's license for free through the 'National Motor Vehicle Licence Organization' web site.|False|True
Cannibal Restaurant Hoax|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Drowned Thief|Mixed|True
Video shows a woman being hit by a car after fleeing her home from a prank intruder.|False|False
Allman Brothers: ‘Eat a Peach’|Mixed|Mixed
Windshield Washer Robbers|Mixed|False
An article details treatment of women in the Muslim world.|Mixed|False
Don Rickles Roasts Congress… and Barack Obama|Mixed|False
A thriving colony of large alligators lives deep within the bowels of the New York City sewer system.|False|False
Facebook: ‘New Gifts for You’ Virus|Mixed|False
Cabal|Mixed|True
Sam Bish Prayer Request|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Rain that falls during a sun shower brings good luck.|Mixed|False
Photographs show a cache of weapons confiscated from a site on the Arizona border.|Mixed|True
Codex Alimentarius|Mixed|True
Seatbelt Snap Trap|Mixed|Mixed
FALSE: Donald Trump Leaves $10,000 Tip|Mixed|True
Affair Admitted on Radio|Mixed|False
Home Depot Employee Fired for Wearing Flag Button|Mixed|True
Censored Protest at Ground Zero|Mixed|Mixed
Aerosmith once decided to play their set list in reverse, then opened  a concert with their encore and mistakenly walked off the stage.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
The month of August will include five Saturdays, five Sundays, and five Mondays, a phenomenon that occurs only once every 800+ years.|False|True
Lorry Pushes Car|Mixed|False
A wealthy foreigner who needs help moving millions of dollars from his homeland promises a hefty percentage of this fortune as a reward for assisting him.|Mixed|True
The popular Chinese dish chop suey is actually American.|Mixed|False
WalMart Using RFID Tagging|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
The Obamas had their dog, Bo, flown on his own airplane to join them on vacation.|False|True
The damage to the Pentagon on September 11 was caused by something other than a hijacked Boeing 757's being crashed into its side.|False|True
A child's drawing seemingly depicts mom as a pole dancer when in reality she was a Home Depot clerk trying to sell a shovel.|Mixed|Mixed
Children’s TV host Barney the purple dinosaur was caught with cocaine hidden in his tail and cussed out a child.|False|True
A Great Lady Has Passed — Pamela Murphy|Mixed|False
Courageous Restraint Medals|Mixed|True
F1 Key Virus|Mixed|False
Subway Free Cash Cards|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Mortality rates in hospitals go up in July due to an influx of inexperienced doctors.|Mixed|Mixed
Joe Biden’s Rosary Beads Quote|Mixed|False
Illinois Freeway Work Zones Laws|Mixed|True
Sergio Vega Murder|Mixed|Mixed
Arizona Rest Area|Mixed|False
An Open Letter to President Obama – Jon Voight|Mixed|True
Missing Child: Reachelle Marie Smith|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Blacks Don’t Read|Mixed|True
5% Downpayment Quote|Mixed|Mixed
Dianne Feinstein on Health Care Reform|Mixed|Mixed
Dear Diary|Mixed|Mixed
A pizza delivery man played the piano part on the Bachman-Turner Overdrive hit "Takin' Care of Business."|False|True
Princess Cruises Boycotts Israel|Mixed|True
Texas' is the only state flag authorized to be flown at the same height as the U.S. national flag.|False|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Etymology of ‘Mind your P’s and Q’s.’|Mixed|False
$6.66 Avoidance|Mixed|Mixed
Arizona Billboard|Mixed|True
Olive Garden $500 Gift Cards|Mixed|False
No Social Security for Illegal Aliens Petition|Mixed|Mixed
Louisiana Shrimp Quote|Mixed|Mixed
Chevron and the National Guard|Mixed|True
Etymologies of ‘One for the Road’ and ‘On the Wagon’|Mixed|True
A dog's mouth is cleaner than a human's.|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Fast. Neat. Average.|Mixed|Mixed
Mexican Flag at Montebello High School|Mixed|False
Photographs show the aftermath of a motorcycle-automobile collision.|Mixed|True
Palestinian Resettlement|Mixed|True
Photograph shows a demonstrator at an immigration protest threatening to "shoot more Arizona police."|Mixed|True
Charley’s Grilled Subs Refuses Services to Marines?|Mixed|True
Volcanic Ash Airplane Damage|Mixed|True
Bank of America Credit Cards for Illegals|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Refrigerating or Freezing Batteries|Mixed|Mixed
Charlie Daniels on Immigration Reform Demonstrations|Mixed|Mixed
Corona Lime Wedge|Mixed|False
Swallowed Lipstick|Mixed|True
Bob Barker Prison Toiletries|Mixed|Mixed
Earthquakes are most likely to happen when the weather is hot and dry.|False|True
Garage Arrest|Mixed|Mixed
The Old One|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Skin Cream for Haiti|Mixed|False
Acid Rain Warning|Mixed|True
Playground Bears|Mixed|True
Fake Canadian $2 Coins|Mixed|Mixed
Caltech Earthquake Warning|Mixed|True
Missing Girl – Chelsea King|Mixed|Mixed
Free Doritos Coupons|Mixed|Mixed
The word 'posh' entered the English language as a shortening of the phrase 'Port Out, Starboard Home.'|False|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Payment of U.S. federal income taxes is voluntary.|False|Mixed
Cell Phone Credit for Text Message Forward|Mixed|False
Barack and Michelle Obama surrendered their law licenses to avoid pending disciplinary actions.|False|Mixed
Buddhist extremists in India plan to burn down 200 churches and kill 200 missionaries within 24 hours.|Mixed|Mixed
House Speaker Nancy Pelosi is linked to the provision of wage and tax breaks for companies in American Samoa.|Mixed|Mixed
Cockroach Eggs in Drinking Straws|Mixed|False
Elementary School Production of ‘Scarface’|Mixed|Mixed
Obama to Launch America Scouts|Mixed|Mixed
Global Warming Activist Freezes to Death in Antarctica|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Opinion piece by Bill Cosby details political and social issues he's tired of.|Mixed|Mixed
Dog Deaths from Chewing Stuffed Toys|Mixed|False
Harvard Science Endowment|Mixed|Mixed
Craig Robinson’s Job Saved by Stimulus Funds?|Mixed|Mixed
A photograph shows the "strongest dog in the world," who works "in the Russian army special forces."|Mixed|False
Tablecloth Zipped into Pants|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
The WHY|Mixed|True
WalMart has authorized U.S. law enforcement to enter its stores and arrest any illegal immigrants found within.|False|Mixed
Recreational Fishing Ban|Mixed|False
Account by Apollo 11 astronaut Buzz Aldrin describes his taking Communion on the moon.|True|True
Peanuts in the shell are unlucky at auto racing events.|Mixed|Mixed
The Fall of Barack Obama – Mortimer Zuckerman|Mixed|True
Islam on Capitol Hill|Mixed|True
Bel Air Mansion|Mixed|False
Rainbow Roses|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Obama Lends $2 Billion to Brazilian Oil Company|Mixed|Mixed
Brian Chontosh — Navy Cross|Mixed|Mixed
Photographs show a train that set a wooden bridge on fire.|True|True
Flyover Denial|Mixed|Mixed
Welcome to Kenya, Birthplace of Barack Obama|Mixed|False
Fur Coat Exchanged|Mixed|False
Mugabe Mansion|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
A punctuation error of a missing comma in a telegram resulted in a costly mistake.|Mixed|True
A text reproduces Theodore Roosevelt's words regarding the assimilation of immigrants into American culture.|True|True
Photograph shows President Obama "desecrating" the Oval Office by unprecedentedly placing his feet on his desk.|Mixed|Mixed
Live Strong Bracelet DNR Confusion|Mixed|False
A dying child was made an honorary fireman by the Phoenix Fire Department.|True|True
Miss Me Yet?|Mixed|Mixed
Howard Galganov – I Told You So|Mixed|Mixed
An excerpt reproduces passages from Lee Iacocca's "Where Have All the Leaders Gone?"|Mixed|True
Facebook ‘Automation Labs’ Warning|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Former NFL quarterback Kurt Warner married a woman who had two children, one a special needs child.|True|False
Circle Flies|Mixed|False
The U.S. Postal Service is discontinuing the Black Heritage series of postage stamps and destroying the remaining stock.|False|False
KISS bassist Gene Simmons had a cow's tongue grafted onto his own.|False|True
Giant George|Mixed|True
Facebook Unnamed App|Mixed|Mixed
Income Tax Refunds Issued as Savings Bonds|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
The photograph used for a University of Wisconsin application booklet was altered to include the face of a black student.|True|True
Three animal rights activists went missing after protesting the use of leather at a motorcycle gang rally.|False|True
Muslim girls buried alive by their father are fed and comforted by Jesus until rescuers come for them.|False|Mixed
The Obama Trifecta|Mixed|Mixed
Congress Accidentally Gives South Dakota Back to Sioux|Mixed|Mixed
Etymology of Phat|Mixed|True
Keep Off the Grass|Mixed|False
Store Closings|Mixed|True
Bertolli Olive Oil Coupon|Mixed|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
The Library of Congress is transferring its entire audio collection to 78 RPM platters.|False|False
Photographs show a golfer whose arm was torn off by an alligator.|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
A chart shows the relationship of voting patterns and intelligence quotients by state.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Photographs show an enormous bear killed by an Alaskan hunter.|Mixed|True
Emergency Weather Bulletin|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
An airline pilot who inadvertently made a risqué comment over an open microphone.|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
The U.S. Federal Aviation Administration offered the British an obvious piece of advice after being asked to investigate a train-testing mishap.|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Twenty-one guns are fired in U.S. national military salutes because the digits in 1776 add up to 21.|False|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Eric Clapton’s Tears in Heaven|True|True
The title of the David Crosby song "Page 43" is a reference to the New Testament.|False|False
Upstate New York (Oswego) Snow|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
An episode of the popular kid's TV show Pokemon caused over 600 young children in Japan to have epileptic attacks.|Mixed|False
Charles Manson was one of the 437 applicants who tried out for The Monkees in 1965.|False|Mixed
The early TV sitcom Mary Kay and Johnny was the first television series to portray a married couple who slept in the same bed.|True|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
The 'Dell Dude' commercials ended because pitchman Benjamin Curtis was arrested for marijuana possession.|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Three Celebrity Deaths|Mixed|False
Elvis Presley once said, "The only thing Negroes can do for me is buy my records and shine my shoes."|False|False
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
An American Airlines pilot penned an essay about Muslims entitled "You Worry Me."|Mixed|Mixed
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
Did 124 Retired Admirals and Generals Sign Letter Questioning 2020 Election?|Mixed|Mixed
Does Putting a Ziplock Bag Over a Car Mirror Have a Legitimate Purpose?|True|True
Technical glitch on CNN web site revealed obituaries for several famous but not-yet-dead people.|True|True
Publix Calendar – Islamic New Year|Mixed|False
Face the Camera|Mixed|True
Do Videos Show Magnets Sticking to People’s Arms After COVID-19 Vaccine?|False|False
Are People Hoarding Gas in Plastic Bags During the Shortage?|Mixed|Mixed
Did Netanyahu Give This Speech to Hamas?|False|False
